#'star' 'date' 'EW' 'Redshift' 'Calculated_RV' 'BJD'
GSC02769-00149 2021-08-26 -2.095609118267191 -0.00034912824722183934 -104.66601259884091 2459452.9315603673
GSC02769-00149 2021-10-03 -1.6138630754757202 -0.00023933384931639124 -71.75048105449176 2459490.8565301974
V846Her 2020-05-10 1.2002759643980814 -0.00035434820240902876 -106.23091575329865 2458979.8621196607
V846Her 2020-08-06 1.2177428470834815 -0.0002007285152928438 -60.17689338450411 2459067.6955259987
V846Her 2020-09-03 1.2237400670000897 -0.00016400768732751302 -49.16826640274908 2459095.645165042
V846Her 2021-03-31 1.2051636934453906 -0.00029768965182153204 -89.24511005922406 2459304.8878235393
2MASSJ17270871+2700144 2020-07-13 1.0625463842829332 -0.00026013761819647434 -77.98729389628562 2459043.8297355403
2MASSJ17270871+2700144 2020-08-07 1.0908909389394483 -0.00026352996258625417 -79.00429313214148 2459068.793041798
2MASSJ17270871+2700144 2020-09-03 1.0203446730406593 -0.00023051800743290618 -69.10755821742916 2459095.6862084502
2MASSJ08504952+1217158 2020-12-04 -1.0766699562882316 -7.924424813966878e-05 -23.756827298199248 2459187.9511588546
2MASSJ08504952+1217158 2021-02-01 -1.1254897822536005 -6.986862968340508e-05 -20.946087670930734 2459246.8388586193
2MASSJ08504952+1217158 2021-03-31 -1.0565638729772013 3.812794283794085e-05 11.43046939684624 2459304.7311301287
2MASSJ08504952+1217158 2021-04-25 -1.1485999885940306 9.936672868225387e-05 29.78939504013816 2459329.6843122193
ASASJ073642+0354.3 2020-11-21 -1.0744664619681856 -0.00017583689646923754 -52.714573992909074 2459174.924241064
ASASJ073642+0354.3 2020-11-22 -1.0639575009595665 -0.00019458444924414108 -58.3349487708017 2459175.9209552733
ASASJ073642+0354.3 2020-12-04 -0.9289523690538584 -0.00023081435205113887 -69.19640009657346 2459187.861585279
ASASJ073642+0354.3 2021-01-31 -0.8092948108742988 -0.00011102667479940548 -33.28495885346703 2459245.749906158
ASASJ073642+0354.3 2021-03-30 -1.421081192808976 -1.7814608849107472e-05 -5.34068523266561 2459303.637324893
ASASJ073642+0354.3 2021-04-24 -1.073073510617074 -1.2530861760346198e-05 -3.7566577477455 2459328.6184829986
ASASJ073642+0354.3 2021-04-25 -1.2836905889944585 -9.653045012991782e-06 -2.893910014405088 2459329.626567434
ASASJ073642+0354.3 2021-10-04 -1.1485606404568571 -0.0001999471510414339 -59.942646281231525 2459491.9843606437
BD+201895 2020-11-21 0.5359273436698606 -0.00016418645078190416 -49.22185833671146 2459174.9937146115
BD+201895 2021-02-01 0.7019040549146198 -3.36280993262026e-05 -10.081450285845627 2459246.764135745
BD+201895 2021-04-01 0.6205936273714707 1.953687668165346e-05 5.857008125740761 2459305.717921348
BPSCS22950-0027 2020-07-12 -0.7374857885195532 -0.00036243857159889417 -108.6563473541329 2459042.8532181643
BPSCS22950-0027 2020-08-06 -0.9131759256473675 -0.0002575807847049025 -77.22077451960524 2459067.788090351
BPSCS22950-0027 2020-08-07 -0.8611535031513426 -0.00023000566716943987 -68.95396247461095 2459068.823743169
BPSCS22950-0027 2020-09-03 -0.4732866012718615 -0.00010125132509481595 -30.354382815921355 2459095.748419986
BPSCS22950-0027 2020-10-02 -0.5172036424128228 -0.0002535275966874662 -76.00565935354737 2459124.636857824
BPSCS22950-0027 2020-11-22 -0.7542269119665503 -0.00010295857310248025 -30.866202878896658 2459175.543755937
BPSCS22950-0027 2021-07-09 -0.6649487818551991 -0.0003404311011819119 -102.05867387952327 2459404.9150070576
BPSCS22950-0027 2021-08-26 -0.7691654499955245 -0.00030464174462240163 -91.32929499262411 2459452.7243347345
BPSCS22950-0027 2021-08-27 -0.746061588419944 -0.00026815531058685263 -80.39093754134349 2459453.708919503
BPSCS22950-0027 2021-10-04 -1.1680319244093118 -0.00010016133997950384 -30.027613507738405 2459491.650094238
BPSCS22950-0027 2019-10-13 -0.21314998982895617 -0.00026093560527401316 -78.22652439732933 2458769.5784142646 #fix???
BPSCS22950-0027 2021-07-08 -0.5893818348471012 -0.00030935018195460965 -92.74084895611821 2459403.816556142
CGTri 2020-09-03 -0.4974904783004126 -0.00025382630172212864 -76.09520886771617 2459095.9211730766
CGTri 2020-09-27 -1.4085840529198244 -3.904841271149133e-05 -11.706419315389128 2459119.86449695
CGTri 2020-09-29 -0.6075019641221724 -0.0001118297613368905 -33.52571813410168 2459121.8307058886
CGTri 2020-11-21 -0.6508550904975703 -1.3992919522980855e-05 -4.194971626447262 2459174.7838973035
CGTri 2020-11-22 -0.9345318876820441 -4.497225517978787e-06 -1.3482342562373797 2459175.7416288285
CGTri 2020-12-05 -1.123921079150625 -6.937654383937338e-05 -20.79856405013815 2459188.695795254
CGTri 2021-07-08 -1.2460931269256061 -0.00025659581963713933 -76.92548942877612 2459403.9596720603
CGTri 2021-08-27 -0.9286997240045007 -0.00030421623764866616 -91.20173121447587 2459453.914242647
CGTri 2021-10-03 -1.4416417475860381 -0.00014892405097206396 -44.64630610483994 2459490.914679911
CGTri 2021-10-03 -1.0658321647488034 -0.00019578008757011633 -58.69339211385972 2459490.9337606695
CGTri 2021-10-04 -1.0311620305718296 -0.00022543574508759743 -67.5839343373863 2459491.9581753267
CGTri 2020-08-07 -0.695205701247751 -0.00020688669095549834 -62.02306795394169 2459068.90819192
FASTT378 2020-12-04 0.24058963193610694 -0.000259028053153241 -77.65465467354035 2459187.932353427
FASTT378 2021-03-31 0.30533205902958027 -4.5932162090847695e-05 -13.770115407012353 2459304.6874059625
FMLyn 2020-11-21 0.8296727455664459 -0.00025723721379957885 -77.11777455614956 2459175.0203708326
FMLyn 2020-12-04 0.7937396632326768 -0.00010122280335745726 -30.34583221440034 2459187.9096428445
FMLyn 2021-01-31 0.733178912892654 -0.00020362341258057224 -61.04476173489058 2459245.8453931278
FMLyn 2021-02-01 0.7188655742853522 -0.0002204903146516461 -66.10133163068788 2459246.796741557
FMLyn 2021-03-31 0.6888482627890737 -2.5285685601392603e-05 -7.580457636371212 2459304.7570669167
FMLyn 2021-04-25 -1.1485999242844578 9.93665117823581e-05 29.789330015187 2459329.6830536136
FVCnc 2021-01-31 0.9103349080378345 3.2162216631486385e-05 9.641989721384052 2459245.8584794
FVCnc 2021-02-01 0.8295608652602704 -2.4239559317562246e-05 -7.266836874732314 2459246.852473397
FVCnc 2021-03-31 0.8576222296688223 1.6837186497975183e-05 5.0476613913349 2459304.745791585
FVCnc 2021-04-24 0.8120017687959673 3.976249553184986e-05 11.920495953607322 2459328.694431651
GSC00563-00384 2020-07-13 0.22752434415868583 -0.0002317327487785031 -69.47172850154196 2459043.911502601
GSC00563-00384 2020-08-06 0.3650020509183505 -0.0002579572875821425 -77.33364723960509 2459067.8710220093
GSC00563-00384 2020-09-03 0.4520238031340491 -0.00024400524298426665 -73.15092960709862 2459095.77100075
GSC00563-00384 2020-09-27 0.3147775430717137 -0.00019855745859360198 -59.52602697754949 2459119.7244436378
GSC00563-00384 2020-11-21 0.5173896921379111 -6.616334951142384e-05 -19.835272650236057 2459174.601892573
GSC00563-00384 2021-07-08 0.6791383471028891 -0.00033133179351328403 -99.33077014024153 2459403.8620353444
GSC00563-00384 2021-07-09 0.6786295741098707 -0.00032725558982830093 -98.10875505082142 2459404.92885045
GSC00563-00384 2021-08-26 0.5378980114390224 -0.00016996996997001044 -50.955713723735855 2459452.8593303356
GSC00563-00384 2021-10-03 0.6090041493908687 -0.00016618887244605106 -49.82216923333914 2459490.7738454654
HD57267 2020-11-21 0.5905169940626291 5.911794101805158e-05 17.72311237675718 2459174.9894228578
HD57267 2021-04-01 1.398196199118626 -9.631620199676638e-05 -28.874870171305485 2459305.6867321976
HRPsc 2020-08-06 -0.956432705736856 -0.00029612857889947235 -88.77711218329112 2459067.9660359053
HRPsc 2020-08-07 -1.4309594927866396 -0.00021213630392841247 -63.5968622886434 2459068.8906739587
HRPsc 2020-09-03 -2.0067807599146095 -0.00019760050909582242 -59.23914074308389 2459095.9075323427
HRPsc 2020-11-21 -3.0293511162359987 -0.00010313089529724107 -30.91786377185338 2459174.762339307
HRPsc 2020-11-22 -3.272931640813865 -5.967292694020899e-05 -17.889492966076258 2459175.7281482243
HRPsc 2020-12-04 -1.6991521775084397 -6.467400859279116e-05 -19.388779487353915 2459187.693261836
HRPsc 2021-07-08 -2.4817804580065754 -0.00012515463235701976 -37.52041386316023 2459403.949599094
HRPsc 2021-08-27 -1.7958114129805134 -0.00019972981764835264 -59.87749137085288 2459453.902320075
HRPsc 2021-10-03 -1.5289718251573206 -0.00014752969132575958 -44.228287610293215 2459490.9154397086
HRPsc 2021-10-03 -1.2582677180160964 -0.00019712406947698026 -59.09630774247413 2459490.934520085
HRPsc 2021-10-04 -1.3016384811493005 -0.0002692114794371046 -80.70756898857421 2459491.7954840045
HRPsc 2020-09-27 -1.6552545381343355 -0.00017211664283307655 -51.59927004070296 2459119.8502658457
KYBoo 2020-07-12 -1.412143607048555 -0.0002695635904283968 -80.81312920532562 2459042.741180837
KYBoo 2020-07-14 -0.9742032366418281 -0.0003059147343307329 -91.71092769610954 2459044.671529504
KYBoo 2021-01-31 -0.7534460498521582 -0.00040415832690322774 -121.16361501021956 2459246.0025634877
KYBoo 2021-03-30 -0.8761559958995289 -0.0003573803447426765 -107.13992913225161 2459303.8475400517
KYBoo 2021-03-31 -0.681340212336913 -0.00036995360768253224 -110.90929843348516 2459304.8226174116
KYBoo 2021-04-24 -0.9710726400755352 -0.00031530097701406353 -94.52485238643979 2459328.7960608476
KYBoo 2021-04-25 -0.8037751611626085 -0.0003246356944685052 -97.32333020216463 2459329.8361092946
KYBoo 2021-05-30 -1.4010993993620495 -0.00028945599203363003 -86.77672101894244 2459364.710044033
KYBoo 2021-07-08 -0.9784490197287576 -0.00030920456831106687 -92.69719508516711 2459403.7466507074
KYBoo 2021-07-09 -1.2246867927279936 -0.0002724621314545481 -81.68208992098104 2459404.6607765937
KNCnc 2020-11-21 -0.6504119750624229 -7.855843572184442e-05 -23.55122591321926 2459174.948757126
KNCnc 2020-11-22 -0.4852311727529983 -8.453051614660644e-05 -25.341610535355706 2459175.9397871085
KNCnc 2021-01-31 -0.788417132175101 -0.00016359258837486836 -49.043822870743305 2459245.7694435637
KNCnc 2021-03-30 -0.19848735029102382 -8.269968536134046e-05 -24.792741288705393 2459303.6570160287
KNCnc 2021-04-01 -0.2622426460865004 -0.0001626772776279575 -48.76941961941557 2459305.7348675793
KNCnc 2021-04-24 -0.9563450317884454 -0.00010058208782122777 -30.153750534041034 2459328.6377808643
KNCnc 2021-04-25 -1.0442308606927533 -0.00012200919589038153 -36.57743575850741 2459329.646062807
KNCnc 2021-10-04 -0.5219000660057764 -0.00011952699288791442 -35.83329003900044 2459491.9907366917
MPBoo 2020-05-10 0.7842897539215627 -0.00018498176092963947 -55.45613531441089 2458979.7679467364
MPBoo 2020-07-13 0.7477497474247943 -0.00016826748714079726 -50.44532222528311 2459043.729076065
MPBoo 2021-02-01 0.7222542706035835 -0.00025198399729511845 -75.54289990989693 2459246.987036417
MPBoo 2021-03-30 0.665843150356078 -0.00022176966234302043 -66.48487040948685 2459303.827737243
MPBoo 2021-04-01 0.7524229979022738 -0.00021990148815756675 -65.92480589340292 2459305.8739831625
MSBoo 2021-02-01 0.603398271172709 -0.00016918793221919266 -50.72126471042571 2459246.950712671
MSBoo 2021-03-30 0.40405857814117185 -0.00015499076584625407 -46.46506142042483 2459303.8859069934
MSBoo 2021-04-01 0.6569427878549354 -7.482373496672504e-05 -22.431590823825168 2459305.9131584843
MSBoo 2021-04-23 0.6244732876616199 -0.00017410380895264808 -52.19500744024631 2459327.8315849975
MSBoo 2021-07-07 0.6688064462273573 9.216351885021177e-06 2.762992711672617 2459402.685858105
MXBoo 2021-02-01 0.10098267409595385 -0.0002571425667073181 -77.08940007247533 2459246.9679935253
MXBoo 2021-04-01 0.15495984975272847 -0.0002050337937001745 -61.46758334616989 2459305.893756022
MXBoo 2021-04-25 0.19343150870167491 -0.00017934298524980427 -53.76567293835269 2459329.7474876908
MXBoo 2021-03-30 0.12608351824547803 -0.00020518343187883408 -61.51244374236377 2459303.866475607
NPCom 2020-05-11 0.3455341524954516 -7.126869399493209e-05 -21.36581638104098 2458980.7664358784
NPCom 2020-12-04 0.3316296121843103 -0.000433329960773187 -129.90905059859764 2459188.020956066
NPCom 2021-01-31 0.6883099407218221 -0.00023813585917662164 -71.39133265541439 2459245.9306781865
NPCom 2021-03-30 0.5300274324670773 8.020711301035968e-05 24.045486916802606 2459303.7242674828
NPCom 2021-04-01 0.4923463938210473 -0.00030798253779774936 -92.33083956360488 2459305.7707025674
NPCom 2021-04-23 0.2719438734659363 0.00012237191040366519 36.68617483109528 2459327.7106239107
ROTSE1J162157.22+381733.6 2020-05-10 0.6636281687821337 -0.00028113478374603557 -84.28208559944419 2458979.849417526
ROTSE1J162157.22+381733.6 2020-09-03 0.8388223210851771 -0.0003935550071654541 -117.98481980789906 2459095.63635056
ROTSE1J162157.22+381733.6 2020-09-28 0.8910002743280563 -0.0003002302606988616 -90.00676541905044 2459120.596151779
ROTSE1J162157.22+381733.6 2021-03-31 0.8892032783758572 -0.00029503921458987986 -88.45052898797583 2459304.855005104
ROTSE1J135649.21+242927.1 2020-05-11 0.6340014746413551 -0.00016951200889815966 -50.818420452001085 2458980.7521251007
ROTSE1J135649.21+242927.1 2020-07-13 0.552979470015162 -0.00010846587034350386 -32.51724901166136 2459043.7004714618
ROTSE1J135649.21+242927.1 2021-01-31 0.6509933494700801 -0.0003578401712086955 -107.27778163507429 2459245.9798285435
ROTSE1J135649.21+242927.1 2021-03-30 0.6169115573671133 -0.00025827893345992147 -77.43007424533684 2459303.7725504544
ROTSE1J135649.21+242927.1 2021-04-01 0.7193663121583924 -0.0001701857076457833 -51.02039025011311 2459305.840761854
ROTSE1J135649.21+242927.1 2021-04-23 0.6689897931061966 -0.0001653309803201227 -49.56497965107137 2459327.8097646595
ROTSE1J170537.88+335052.5 2020-05-10 -1.0202882586164508 -0.0005076529940578075 -152.19053483842555 2458979.8787778714
ROTSE1J170537.88+335052.5 2020-07-12 0.38572946182092194 -0.00015735933216220958 -47.17513971927261 2459042.8328584204
ROTSE1J170537.88+335052.5 2020-07-14 0.5358481809662003 -8.567055300103503e-05 -25.683384977035146 2459044.738665924
ROTSE1J170537.88+335052.5 2021-03-31 0.5683741213496725 -0.00015849424108617396 -47.515376846114755 2459304.9038404245
ROTSE1J183703.58+280017.1 2020-07-12 0.5649449685628873 3.413309006687783e-05 10.232842697219969 2459042.898869104
ROTSE1J183703.58+280017.1 2020-07-14 0.5362609697758511 1.9123505349930006e-05 5.733082521443624 2459044.76835353
ROTSE1J183703.58+280017.1 2020-08-06 0.6040850109398583 4.8456460982425516e-05 14.526881156250752 2459067.803644929
ROTSE1J183703.58+280017.1 2020-09-29 0.38194839941121783 2.8277422147111366e-05 8.477357665166776 2459121.6522872285
ROTSE1J183703.58+280017.1 2021-05-02 0.2128648602850287 -0.00010905238929996077 -32.693082966589024 2459336.927220773
ROTSE1J184706.07+434032.7 2020-07-12 0.2232069317599792 -0.0001816877047327343 -54.46860213670302 2459042.9316598275 #check this one again
ROTSE1J184706.07+434032.7 2020-07-14 0.1798586659435819 -0.00015560291873559923 -46.648580234896194 2459044.7912623514
ROTSE1J184706.07+434032.7 2020-08-06 0.6861845406530316 -0.00019912853101367462 -59.6972301774905 2459067.846334752
ROTSE1J184706.07+434032.7 2020-09-28 0.5216057129865175 -0.00012703255645758768 -38.083401330183534 2459120.6598898373
ROTSE1J184706.07+434032.7 2020-11-22 0.3385607569687359 -0.0001417157747695652 -42.48531932181614 2459175.562185617
TYC2268-394-1 2020-08-07 1.2131684853244833 -0.0003262440945279509 -97.80551639656599 2459068.8720851215
TYC2268-394-1 2020-09-28 0.4116920607496324 -7.780118425632162e-05 -23.32420764110409 2459120.763618648
TYC2268-394-1 2020-12-05 1.1466626472227155 -0.0003282318756987531 -98.40143818382465 2459188.598578787
TYC2268-394-1 2020-09-03 1.1173803235464366 -0.00037566852295519944 -112.62258688462049 2459095.8087713434
TYC2268-394-1 2020-09-16 0.9734927754751577 -0.0004480826849022343 -134.33180590941885 2459108.760689101
TYC2268-394-1 2020-11-21 0.9333167174562096 -0.00012800945693919688 -38.37626871897133 2459174.744448222
TYC2268-394-1 2021-07-08 0.7016605182486724 -0.00010556606812859567 -31.647910201138615 2459403.9108244404
TYC2268-394-1 2021-08-26 1.0466313730427412 -0.0001046571697491523 -31.375429329164255 2459452.9499941245
TYC2268-394-1 2021-10-03 0.4762836348049677 -0.00015988397956188136 -47.93200994860634 2459490.8758281567
TYC2268-394-1 2021-10-04 0.6042799969342316 -0.00027014626402426683 -80.98781035018182 2459491.9413981456
TYC2645-156-1 2020-07-12 0.7110000793922704 -0.00018568794242755144 -55.6678431958146 2459042.917725972
TYC2645-156-1 2020-07-14 0.7476623916089773 -0.00011510397874476577 -34.50730379264126 2459044.780269141
TYC2645-156-1 2020-08-07 0.5271999227526956 -3.014975106808788e-05 -9.038667739592183 2459068.767268841
TYC2645-156-1 2020-09-29 0.7289874221539492 -0.00014765400505177415 -44.26555592678375 2459121.669276109
TYC2645-156-1 2020-11-21 0.41820215689415985 -9.858203107040897e-05 -29.55414862057403 2459174.5431638323
TYC2645-156-1 2021-04-23 0.7459922014500733 -0.00011326039501087989 -33.95461130827946 2459327.962711477
TYC3927-1130-1 2020-07-13 0.6939816418176536 2.9163852124353274e-06 0.8743102679797573 2459043.811917236
TYC3927-1130-1 2020-07-14 0.7505750807674296 -2.164810282701941e-05 -6.489937784364075 2459044.8042168655
TYC3927-1130-1 2020-08-07 0.7789637485658059 2.2582021788971647e-05 6.769919638069193 2459068.775909859
TYC3927-1130-1 2020-09-29 0.80050332955402 -0.00014941347236644204 -44.793030943742956 2459121.688703856
TYC3927-1130-1 2020-09-30 0.7238402573830665 -0.00021305372308005215 -63.87189762379038 2459122.6986682503
TYC4216-800-1 2020-07-13 0.5374984233314568 -0.00018916857999861546 -56.71131206080593 2459043.847431497
TYC4216-800-1 2020-07-14 0.6030883356809276 -0.0002024312183747428 -60.687350913049166 2459044.818396685
TYC4216-800-1 2020-09-03 0.809233811544956 -0.00011688437266041083 -35.04105244657758 2459095.726867988
TYC4216-800-1 2020-09-29 0.7698950304529895 -0.00022510271565804295 -67.48409462877805 2459121.707653884
TYC4216-800-1 2020-09-30 0.7566809438272251 -0.00020927807028454825 -62.73998542187692 2459122.716110459
TYC4422-1970-1 2020-05-10 0.5021212768818177 -0.0002931372262992739 -87.88032725846377 2458979.7952797115
TYC4422-1970-1 2020-05-10 0.4873225034861375 -0.00028905407310026116 -86.65622875720639 2458979.8129725745
TYC4422-1970-1 2020-05-10 0.49702366280791255 -0.0002902347803587706 -87.01019587896772 2458979.8292262265
TYC4422-1970-1 2020-05-11 0.5972302095395441 -0.00012170753933299593 -36.487001400110216 2458980.8034824487
TYC4422-1970-1 2020-05-11 0.5310131279764936 -0.0001347914977592542 -40.40947335241633 2458980.8280454287
TYC4422-1970-1 2020-05-11 0.5384730760816065 -0.00014418163787083578 -43.22456646231064 2458980.846644858
TYC4422-1970-1 2020-07-13 0.49090085812206885 -0.00034134509705080815 -102.33268294034956 2459043.650549188
TYC4422-1970-1 2020-07-13 0.49747325479984505 -0.00032989891319810526 -98.90120343999732 2459043.6659787158
TYC4422-1970-1 2020-07-13 0.48472350104742556 -0.00033185252538318476 -99.48688162331216 2459043.6820562105
TYC4422-1970-1 2020-07-15 0.6055117778155452 -6.445409257839118e-05 -19.32285032660271 2459045.6906418707
TYC4422-1970-1 2020-07-15 0.5727294188796677 -5.312242248306499e-05 -15.925701186133137 2459045.7094689836
TYC4422-1970-1 2020-07-15 0.5918316381466013 -5.6599153104990815e-05 -16.967998777270303 2459045.7280117236
TYC4422-1970-1 2020-08-07 0.7303286174993207 -0.00016319472135623388 -48.92454534245268 2459068.629577558
TYC4422-1970-1 2020-08-07 0.7590327488129223 -0.00016444364431251167 -49.29896301537644 2459068.6468817317
TYC4422-1970-1 2020-08-07 0.7174484168400661 -0.00016664486468648184 -49.958872264278874 2459068.665050264
TYC4422-1970-1 2021-08-27 0.5100780446487301 -0.0001227330082114824 -36.79442922759043 2459453.6192702493
TYC4422-1970-1 2021-10-04 0.7822192619546913 -0.00021838463991198775 -65.4700662415826 2459491.623050899
V498And 2020-08-06 -0.5962862380897311 -0.00018999669356812646 -56.95957425668788 2459067.93753886
V498And 2020-09-03 -0.09863245451560143 -0.00027214947328286365 -81.58835736167924 2459095.821276525 #check this again
V498And 2020-09-04 -0.34387820510820966 -0.0001909216468749145 -57.23686827466547 2459096.894214588
V498And 2020-09-29 -1.1844406879035727 -0.00026436489556250263 -79.2545997346768 2459121.757841243
V498And 2020-11-21 -0.9656399924084793 -0.0002535954344322531 -76.02599659725952 2459174.769365179
V498And 2020-12-05 -1.046689493441117 -7.625831031894898e-05 -22.861665683377996 2459188.5649004746
V498And 2021-07-08 -0.7242499659118922 -0.0001868967611160211 -56.030237912036704 2459403.9225947405
V498And 2021-08-27 -0.6435699062775022 -0.0002713189051644013 -81.33935931055353 2459453.875187904
V498And 2021-10-03 -0.6483747298443081 -0.00023094769384822403 -69.23637496060901 2459490.894370947
V498And 2021-10-04 -0.6572382371310512 -0.00027056170465153244 -81.1123563136593 2459491.7759628003
V832Her 2020-08-07 1.2479436306099725 -0.00010001572377643974 -29.98395886946212 2459068.806872156
V832Her 2020-09-03 1.227494873553578 -0.00013777002759611943 -41.30241410960826 2459095.6729304874
V832Her 2020-09-28 1.1979126560308737 -0.000147847433617444 -44.3235443503859 2459120.625248019
V832Her 2021-03-31 1.2181711358038334 -0.00020225301710081157 -60.6339275165442 2459304.9783234326
V832Her 2021-04-23 1.2433116507835287 -0.00022776519113743094 -68.28228467580871 2459327.9515599553
V834Her 2020-07-12 1.0956733444376683 -2.5092218775783927e-05 -7.522457742728264 2459042.883156258
V834Her 2020-07-14 1.1220533894424323 -2.377601099423463e-05 -7.127868587188536 2459044.7526529357
V834Her 2020-09-29 1.0975667788086074 -1.0326188093272656e-06 -0.3095713227643038 2459121.6335395025
V834Her 2021-04-23 1.1242034111907988 -0.00010166250398714945 -30.4776511434423 2459327.904953532
V834Her 2021-05-02 1.0781672646606353 -9.63252103768984e-05 -28.877570815655794 2459336.873665799
V834Her 2021-05-02 1.1512465155382814 -9.312664515247906e-05 -27.918665110542324 2459336.8930710377
