,star,2MASS ID,source_id,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,2MASS_qph,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun)
410,ZTF J164500.76+264242.4,2MASS 16450074+2642424,1307265350573648640,WISEA J164500.76+264242.4,GALEX J164500.7+264243,251.25317934113696,26.711766864346405,1470.1682111935693,,2.93,0.26,-0.67,15.043958,385.49704,15.571313,102.10758,14.346189,145.46017,13.314,0.024,12.799,0.022,12.714,0.032,12.734,0.024,12.729,0.024,12.43,0.362,9.102,,,,21.83489990234375,0.3176999986171722,,,,,AAA,0000,AACU,RS,SSG,,,,,,,,,,,,,,,
411,ZTF J165212.05+275314.7,2MASS 16521206+2753148,1307814144314810880,WISEA J165212.05+275314.7,GALEX J165212.1+275314,253.05023110110776,27.887417467239317,1484.1431761772749,,19.27,0.23,-0.1735,14.409563,669.45825,14.956782,178.14789,13.702823,206.91443,12.72,0.025,12.214,0.031,12.116,0.023,12.068,0.024,12.081,0.022,12.44,0.46,9.161,,,,21.38319969177246,0.2138999998569488,,,,,AAA,h000,AACU,RS,SSG,,,,,,,,,,,,,,,
412,ZTF J164808.33+301618.5,2MASS 16480832+3016186,1311356049225356800,WISEA J164808.33+301618.5,GALEX J164808.3+301618,252.03472106209983,30.271816356889236,1945.49495400982,,23.22,0.1,,14.998344,519.9904,15.519526,145.37537,14.318812,161.53499,13.498,0.024,12.981,0.023,12.864,0.023,12.813,0.024,12.868,0.026,12.159,,8.858,,,,22.17250061035156,0.3411999940872192,,,,,AAA,0000,AAUU,RS,RS,,,,,,,,,,,,,,,
413,ZTF J160714.13+265326.6,2MASS 16071413+2653265,1315598789718873984,WISEA J160714.13+265326.4,,241.80890507129237,26.89067635668364,1729.6025317982678,,3.54,0.13,,15.041169,707.7289,15.631039,152.97842,14.323793,212.60663,13.33,0.025,12.767,0.024,12.631,0.027,12.589,0.022,12.552,0.024,12.081,0.32,9.066,,,,,,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
414,CSS J161235.2+301912,2MASS 16123521+3019126,1318871898394970112,WISEA J161235.21+301912.5,GALEX J161235.1+301913,243.14672990795285,30.320143122165103,1893.882424924376,,16.07,0.08,-0.2876,14.970017,673.01874,15.5156355,186.51352,14.265349,252.66222,13.452,0.025,12.872,0.023,12.696,0.025,12.64,0.023,12.635,0.024,12.56,0.411,9.112,,,,22.17530059814453,0.2531999945640564,,,,,AAA,0000,AACU,RS,SSG,,,,,,,,,,,,,,,
415,ZTF J161519.14+304323.1,2MASS 16151914+3043232,1318901722647977344,WISEA J161519.14+304323.1,GALEX J161519.1+304323,243.82977606066297,30.72307473053952,1655.9723577189975,,7.12,0.07,-0.0933,14.434398,346.93115,15.050985,99.42935,13.676736,122.78237,12.626,0.022,12.006,0.025,11.887,0.023,11.852,0.023,11.862,0.022,11.724,0.201,8.958,,,,21.78089904785156,0.2327000051736831,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
416,ZTF J154623.14+294813.0,2MASS 15462314+2948130,1321034569047998976,WISEA J154623.14+294812.9,GALEX J154623.1+294812,236.59643174343623,29.803605304775523,1273.9606278676818,,9.58,0.08,0.762,14.324981,1060.4915,14.848557,269.3259,13.646003,412.92905,12.748,0.023,12.271,0.031,12.188,0.021,12.124,0.023,12.172,0.023,12.005,0.188,9.479,,,,21.282699584960938,0.1967000067234039,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
417,ZTF J161211.37+322655.3,2MASS 16121140+3226554,1322497842929826048,WISEA J161211.38+322655.3,GALEX J161211.3+322655,243.047383492334,32.448690635971666,797.2707613389921,,6.75,0.06,-0.3792,13.2097,899.9757,13.674799,220.13153,12.567461,307.3021,11.65,0.022,11.187,0.022,11.063,0.021,11.065,0.023,11.06,0.02,10.965,0.094,8.954,,,,19.14150047302246,0.0406000018119812,,,,,AAA,0000,AAAU,RS,SSG,,,,,,,,,,,,,,,
418,ZTF J160620.02+345545.1,2MASS 16062003+3455450,1324002254009950720,WISEA J160620.02+345545.0,,241.5834377859732,34.929174478296055,902.8529323082508,,4.62,0.07,,12.909467,1811.0985,13.330508,635.72833,12.315571,588.1099,11.599,0.022,11.15,0.022,11.046,0.021,11.058,0.022,11.056,0.02,10.973,0.074,9.227,,,,,,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
419,ZTF J162349.29+324450.7,2MASS 16234930+3244505,1325511471158784128,WISEA J162349.33+324450.6,GALEX J162349.2+324451,245.95541341865405,32.747392841110006,1199.5795285855463,,4.73,0.07,,14.71597,796.18756,15.262688,227.41183,13.995302,276.45514,12.916,0.025,12.423,0.03,12.28,0.028,12.08,0.023,12.086,0.023,12.111,0.288,8.89,,,,21.28179931640625,0.3075999915599823,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
420,ZTF J161851.91+325416.1,2MASS 16185192+3254160,1328562925162840064,WISEA J161851.92+325416.0,GALEX J161852.1+325416,244.71631308586484,32.90444810416338,1365.6981974258415,,4.42,0.06,-0.9118,14.355038,475.0005,15.068443,139.18976,13.497739,180.7334,12.09,0.022,11.461,0.021,11.266,0.019,11.233,0.023,11.132,0.02,10.893,0.094,8.777,,,,20.86639976501465,0.1209999993443489,,,,,AAA,00P0,AAAU,cut,SSG,,,,,,,,,,,,,,,
421,ZTF J160905.88+360035.1,2MASS 16090587+3600350,1330097156200849664,WISEA J160905.88+360035.1,GALEX J160905.9+360035,242.27452893437564,36.00973862096656,1643.4641826026177,,19.39,0.07,,14.614947,737.0063,15.091119,191.23967,13.968748,288.14896,13.146,0.024,12.682,0.032,12.534,0.03,12.488,0.023,12.502,0.024,12.331,0.225,9.334,,,,21.05349922180176,0.2207999974489212,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
422,CSS J162819.7+372158,2MASS 16281971+3721585,1331162067572176640,WISEA J162819.72+372158.5,,247.0821733150271,37.36624832463516,1344.7583253953806,,4.56,0.03,-0.0415,14.430568,299.32623,15.050951,86.25042,13.676868,107.58638,12.836,0.022,12.215,0.024,12.052,0.019,11.852,0.023,11.85,0.021,11.623,0.194,9.143,,,,,,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
423,ROTSE1 J162157.22+381733.6,2MASS 16215720+3817340,1332235156560611584,WISEA J162157.18+381734.5,GALEX J162157.2+381734,245.488209202091,38.292963406409186,523.3150559570911,12.22075,31.98,0.03,,10.083652,460.0167,10.671415,141.12752,9.359291,157.99985,8.483,0.034,7.87,0.033,7.696,0.021,7.606,0.027,7.657,0.021,7.578,0.017,7.55,0.115,20.46769905090332,0.2015,17.63089942932129,0.0204000007361173,Yes,Absorption,Normal Emission,Normal Emission,AAA,0000,AAAB,RS,RS,,,,,,,,,,,,,,,
424,ZTF J171617.01+303515.3,2MASS 17161702+3035157,1333108409311561600,WISEA J171617.01+303515.4,GALEX J171617.0+303516,259.07090103615855,30.58758463612027,1579.411277918117,,0.95,0.11,,13.654289,565.63086,14.088017,125.22567,13.030025,195.98097,12.16,0.02,11.692,0.019,11.636,0.022,11.565,0.022,11.549,0.021,11.359,0.144,8.718,,,,18.323999404907227,0.0425000004470348,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
425,CSS J171031.9+312504,2MASS 17103196+3125040,1333438915635290112,WISEA J171031.96+312503.9,GALEX J171032.0+312503,257.6332063545077,31.41777840462161,1260.3271127308208,,4.6,0.09,0.0789,14.407366,585.46735,15.067195,162.58345,13.619637,208.21791,12.517,0.022,11.916,0.023,11.762,0.02,11.67,0.023,11.679,0.021,11.668,0.181,9.258,,,,21.89380073547364,0.36489999294281,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
426,ZTF J172624.25+330935.0,2MASS 17262426+3309354,1335331999780582272,WISEA J172624.26+330935.1,GALEX J172624.2+330935,261.6010812394764,33.15971321538268,909.0083901224314,,8.75,0.13,,12.727504,593.61914,13.213299,186.08174,12.074643,207.15012,11.22,0.022,10.675,0.022,10.517,0.018,10.42,0.023,10.439,0.021,10.362,0.051,9.615,,22.02039909362793,0.4071,18.583799362182617,0.0368999987840652,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
427,CSS J173419.9+352319,2MASS 17341999+3523186,1336042937126955136,WISEA J173419.99+352318.5,GALEX J173420.0+352320,263.5833063791727,35.38847280698317,1677.679626430482,,1.93,0.09,-0.2223,14.581116,523.64935,15.161793,162.49745,13.839224,237.8018,12.933,0.023,12.351,0.022,12.171,0.021,12.026,0.023,11.992,0.022,11.786,0.191,9.021,,,,21.22520065307617,0.2410999983549118,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
428,ZTF J172643.44+363313.8,2MASS 17264346+3633138,1337114067610495744,WISEA J172643.45+363313.8,,261.68102165495424,36.553821088956994,1953.6712535377796,,7.13,0.13,-0.0695,15.108217,994.41614,15.611647,201.91275,14.439241,300.9336,13.569,0.021,13.114,0.026,12.979,0.027,12.963,0.023,12.983,0.024,12.565,,9.173,,,,,,,,,,AAA,0000,AAUU,RS,RS,,,,,,,,,,,,,,,
429,ZTF J172430.46+365324.2,2MASS 17243047+3653242,1337324246130094464,WISEA J172430.46+365324.2,,261.12693278473836,36.890033151126744,1042.2775123852575,,5.11,0.16,0.0501,13.480372,764.12213,14.074605,220.42531,12.738924,280.41165,11.801,0.02,11.248,0.02,11.083,0.019,10.987,0.023,11.028,0.021,10.912,0.092,8.703,,,,,,,,,,AAA,hh00,AAAU,cut,SSG,,,,,,,,,,,,,,,
430,ROTSE1 J170537.88+335052.5,2MASS 17053805+3350598,1337732439821954304,WISEA J170538.05+335059.5,GALEX J170538.0+335059,256.40858273450897,33.84982951934134,608.2619248601495,38.471250000000005,5.78,0.07,-0.2967,11.272444,713.93024,11.72422,229.17165,10.650561,235.87234,9.88,0.021,9.394,0.022,9.242,0.018,9.162,0.024,9.152,0.021,9.01,0.025,8.649,0.296,21.268999099731445,0.288,16.806400299072266,0.0210999995470047,No,Variable H-alpha,No RV Data,No RV Data,AAA,0000,AAAB,RS,RS,,,,,,,,,,,,,,,
431,ZTF J170011.48+341853.9,2MASS 17001149+3418536,1337937601821081728,WISEA J170011.48+341853.8,GALEX J170011.4+341854,255.04786122626257,34.31496248513669,1583.5292033248545,,10.15,0.05,,14.019062,1999.3113,14.4286785,503.9063,13.441678,623.43,12.767,0.023,12.335,0.023,12.241,0.023,12.173,0.022,12.225,0.021,12.199,0.383,9.071,,,,20.1692008972168,0.1186000034213066,,,,,AAA,hhh0,AACU,RS,RS,,,,,,,,,,,,,,,
432,ZTF J165805.03+361658.1,2MASS 16580503+3616581,1339150500584392832,WISEA J165805.03+361658.0,GALEX J165804.9+361657,254.5209616495599,36.28278228992965,1653.0791593759725,,9.7,0.04,-0.3437,14.652638,707.7478,15.096744,224.90549,14.042735,246.76805,13.254,0.026,12.761,0.026,12.711,0.026,12.672,0.023,12.683,0.023,11.98,,9.133,,,,21.06599998474121,0.2360000014305114,,,,,AAA,0000,AAUU,RS,RS,,,,,,,,,,,,,,,
433,ZTF J170518.34+364838.3,2MASS 17051833+3648382,1339422183035163776,WISEA J170518.33+364838.2,GALEX J170518.2+364839,256.3264041448335,36.81062423770216,1216.373833669678,,7.12,0.07,-0.6121,14.570883,288.58188,15.159222,77.56674,13.8093605,80.97769,12.731,0.02,12.174,0.022,12.01,0.023,11.995,0.023,11.948,0.022,11.802,0.211,8.982,,,,20.74169921875,0.2115000039339065,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
434,CSS J172259.2+392928,2MASS 17225927+3929290,1340854159491539456,WISEA J172259.27+392929.0,GALEX J172259.2+392930,260.7469607135064,39.49140639433639,1490.0547327179154,,37.53,0.1,-0.0326,13.461872,380.7246,14.107645,107.46508,12.686689,144.96103,11.663,0.021,11.084,0.022,10.902,0.017,10.87,0.023,10.896,0.02,10.721,0.08,9.031,,,,20.81060028076172,0.2373999953269958,,,,,AAA,0000,AAAU,RS,SSG,,,,,,,,,,,,,,,
435,ZTF J173251.87+392354.8,2MASS 17325187+3923547,1343676090444253824,WISEA J173251.87+392354.7,GALEX J173251.8+392354,263.216136606655,39.39854280273316,1228.5356078103048,,11.42,0.1,,14.239869,613.8313,14.710807,163.08606,13.601723,231.53848,12.922,0.021,12.402,0.024,12.299,0.022,12.19,0.023,12.215,0.021,12.246,0.258,8.862,0.314,,,20.71139907836914,0.1632999926805496,,,,,AAA,0000,AABB,RS,RS,,,,,,,,,,,,,,,
436,ZTF J175126.20+393420.0,2MASS 17512620+3934200,1344466776743593984,WISEA J175126.20+393419.9,,267.8592182967507,39.57220724343085,911.9452348176792,,19.19,0.09,0.4735,13.296095,689.27985,13.857115,193.16922,12.583049,252.77791,11.583,0.021,11.056,0.02,10.929,0.018,10.906,0.023,10.926,0.021,10.846,0.09,9.398,,,,,,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
437,ZTF J174813.99+411518.1,2MASS 17481399+4115181,1344858271602642176,WISEA J174813.99+411518.1,,267.05831018831464,41.255022369346136,1500.2711987405546,,10.35,0.12,0.0319,15.256316,472.38458,15.864617,136.34616,14.511888,160.38281,13.602,0.025,13.041,0.025,12.883,0.026,12.75,0.023,12.769,0.023,12.139,0.289,9.174,,,,,,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
438,ZTF J174727.03+431147.8,2MASS 17472701+4311481,1346009803874056960,WISEA J174727.02+431147.9,GALEX J174727.0+431148,266.86262392055494,43.19662301763584,1052.6484138681049,,20.64,0.1,,13.073699,945.89514,13.493813,263.27133,12.48292,372.178,11.775,0.025,11.394,0.018,11.266,0.012,11.246,0.023,11.284,0.02,11.13,0.093,9.334,,,,19.532699584960938,0.0790000036358833,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
439,ZTF J172831.90+402500.3,2MASS 17283191+4025000,1346828184122485632,WISEA J172831.90+402500.1,GALEX J172831.9+402501,262.13293714276745,40.416708200992,1092.759730077417,,18.4,0.11,-0.1676,13.894187,483.4237,14.429749,144.41069,13.199559,187.41876,12.417,0.026,11.811,0.022,11.689,0.021,11.627,0.023,11.643,0.02,11.817,0.15,9.198,,,,20.90800094604492,0.2375999987125396,,,,,AAA,0h00,AABU,RS,SSG,,,,,,,,,,,,,,,
440,ZTF J172245.35+395434.8,2MASS 17224536+3954348,1346882403789493120,WISEA J172245.36+395434.7,GALEX J172245.2+395435,260.6889920946111,39.909641985315794,1773.5987720927442,,17.02,0.1,-0.2196,14.652417,569.23505,15.134582,178.7097,13.990783,186.58496,13.132,0.022,12.557,0.023,12.511,0.024,12.331,0.024,12.314,0.022,12.239,0.26,9.444,,,,20.33309936523437,0.1582999974489212,,,,,AAA,dd00,AABU,RS,SSG,,,,,,,,,,,,,,,
441,ZTF J173612.45+421953.1,2MASS 17361244+4219531,1347413639704813952,WISEA J173612.45+421952.9,GALEX J173612.3+421954,264.0518770407017,42.33138635285946,1863.6284845864045,,3.08,0.08,-0.52,15.357495,569.6693,15.937271,182.77628,14.603417,203.17197,13.528,0.023,12.909,0.02,12.757,0.027,12.74,0.023,12.715,0.025,12.88,0.432,9.16,,,,22.0846004486084,0.4092999994754791,,,,,AAA,0000,AACU,SSG,SSG,,,,,,,,,,,,,,,
442,ZTF J172206.17+414059.1,2MASS 17220618+4140594,1347920342765892480,WISEA J172206.17+414059.2,GALEX J172206.1+414058,260.5257319802917,41.68309821891905,1286.2167491724258,,13.91,0.06,,14.416036,715.3737,14.958487,196.22334,13.724614,266.7354,12.897,0.023,12.361,0.023,12.257,0.021,12.121,0.023,12.149,0.021,12.189,0.226,9.477,,,,21.798799514770508,0.2754000127315521,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
443,ZTF J174604.05+433549.1,2MASS 17460405+4335491,1349079502899915136,WISEA J174604.05+433549.0,GALEX J174603.9+433548,266.516899412846,43.596973527099024,1344.264481425599,,7.07,0.09,0.0487,14.480399,384.979,15.110946,112.203026,13.724768,144.4256,12.741,0.023,12.151,0.02,11.964,0.016,11.901,0.023,11.906,0.021,11.716,0.155,9.105,,,,21.727500915527344,0.3235000073909759,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
444,HD 161570,2MASS 17440755+4404517,1349329916673137024,WISEA J174407.57+440451.7,GALEX J174407.5+440452,266.0315149335877,44.08108171274888,285.09389891933165,7.866499999999999,64.1,0.11,-0.6495,7.949773,2814.4778,8.414341,792.90314,7.3131094,910.8374,6.501,0.034,6.094,0.017,7.029,,5.981,0.118,5.914,0.046,5.93,0.015,5.849,0.035,20.284500122070312,0.1813,14.910400390625,0.0094999996945261,Yes,Absorption,Variable,Normal Emission,AAU,0000,BAAA,RS,RS,45.62336808911685,0.0027891255,0.0019459071421554,0.002867893,23.403953150839907,0.061466247,,,SB1,0.51897895,0.547956,0.5759798,0.60315925,0.62958324,0.6553257
445,ZTF J165635.00+365745.2,2MASS 16563502+3657452,1351260796530197120,WISEA J165635.00+365745.2,GALEX J165634.9+365745,254.14584086114056,36.9625500446112,1943.4681803995493,,2.66,0.04,-0.1891,14.928597,272.3065,15.481089,76.741486,14.1918335,100.84904,13.154,0.022,12.632,0.02,12.486,0.025,12.419,0.024,12.38,0.023,11.993,0.259,8.753,,,,21.62459945678711,0.3109000027179718,,,,,AAA,dd00,AABU,cut,SSG,,,,,,,,,,,,,,,
446,ZTF J165638.21+401409.0,2MASS 16563819+4014089,1352965245711510912,WISEA J165638.20+401408.9,GALEX J165638.3+401409,254.1592253970068,40.23581919709245,1029.3782356701306,,16.49,0.06,,13.555533,794.5547,14.076108,235.8641,12.881316,314.66678,12.004,0.021,11.478,0.021,11.36,0.02,11.364,0.023,11.376,0.02,11.33,0.129,8.522,,,,20.45120048522949,0.1668999940156936,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
447,ZTF J171359.81+420307.2,2MASS 17135983+4203074,1354103171527416192,WISEA J171359.81+420307.3,GALEX J171359.8+420307,258.4992355242886,42.051996700139824,871.2417699189198,,6.2,0.06,-0.1792,12.902138,1087.2922,13.385417,365.3401,12.252458,337.60394,11.374,0.022,10.867,0.018,10.743,0.016,10.687,0.023,10.7,0.02,10.55,0.059,9.231,,,,19.48390007019043,0.0947000011801719,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
448,CSS J170752.8+413315,2MASS 17075279+4133156,1354213225769122560,WISEA J170752.79+413315.6,,256.96999455631726,41.55432317141806,1800.7890491143023,,10.35,0.06,-0.5401,14.6719265,591.0416,15.136296,165.21945,14.031138,207.86604,13.17,0.022,12.65,0.035,12.575,0.032,12.45,0.022,12.458,0.022,12.304,0.318,9.279,,,,,,,,,,AAA,dd00,AABU,RS,SSG,,,,,,,,,,,,,,,
449,ZTF J171233.57+431400.4,2MASS 17123359+4314004,1354454740370241024,WISEA J171233.58+431400.3,GALEX J171233.6+431400,258.139914397383,43.23343419068057,1896.2113347446636,,10.72,0.04,,14.943009,838.37256,15.443391,188.78098,14.2740345,303.58078,13.438,0.024,12.947,0.026,12.792,0.037,12.788,0.023,12.808,0.023,12.201,,8.874,,,,21.400999069213867,0.2894999980926513,,,,,AAA,0000,AAUU,RS,RS,,,,,,,,,,,,,,,
450,ZTF J163850.39+405447.5,2MASS 16385039+4054473,1356095108638961024,WISEA J163850.38+405447.5,GALEX J163850.3+405448,249.7099660809123,40.913179501635774,1177.9088370763918,,12.09,0.02,,14.285963,668.91595,14.767487,197.22491,13.635174,280.49265,12.93,0.021,12.45,0.022,12.306,0.025,12.127,0.106,12.21,0.022,12.417,0.335,8.922,,,,21.478200912475582,0.2081000059843063,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
451,ZTF J165930.78+461839.4,2MASS 16593078+4618395,1359831730186620416,WISEA J165930.78+461839.4,GALEX J165930.8+461839,254.87826027206816,46.31093217000945,1627.5663506701098,,6.17,0.06,-0.364,15.387357,229.05154,16.012617,61.265804,14.606417,84.705246,13.526,0.026,12.969,0.024,12.746,0.024,12.706,0.023,12.651,0.023,12.391,0.292,9.249,,,,21.61260032653809,0.4257000088691711,,,,,AAA,dd00,AABU,SSG,SSG,,,,,,,,,,,,,,,
452,ZTF J171406.25+430733.0,2MASS 17140626+4307331,1360440481676068608,WISEA J171406.25+430733.0,,258.5260521736989,43.12581860942199,1850.3899070439077,,0.94,0.05,-0.3174,15.371291,692.9089,15.973769,169.48152,14.62039,172.50734,13.742,0.025,13.111,0.026,13.007,0.035,12.926,0.023,12.878,0.024,12.997,0.529,9.0,,,,,,,,,,AAA,0000,AACU,SSG,SSG,,,,,,,,,,,,,,,
453,ZTF J173014.48+451733.7,2MASS 17301450+4517336,1361090739720168576,WISEA J173014.49+451733.6,,262.5603742142004,45.292676585420224,1071.23445933814,,5.39,0.06,-0.0279,13.48226,555.03564,13.934819,173.66649,12.868292,198.20665,11.993,0.023,11.559,0.019,11.442,0.017,11.478,0.023,11.501,0.02,11.473,0.112,9.234,,,,,,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
454,CSS J173321.5+472248,2MASS 17332153+4722477,1362248113147856000,WISEA J173321.52+472247.9,,263.33968540556924,47.37999394719193,1959.72407818071,,1.55,0.08,-0.5516,15.278356,562.7297,15.74761,143.67775,14.628515,177.59637,13.87,0.028,13.335,0.026,13.216,0.035,13.165,0.024,13.163,0.025,12.871,0.368,9.631,,,,,,,,,,AAA,0000,AACU,RS,SSG,,,,,,,,,,,,,,,
455,ZTF J174631.95+464306.3,2MASS 17463194+4643063,1362543160220521856,WISEA J174631.94+464306.2,,266.63313049387665,46.71839683124073,1929.8677397661215,,8.5,0.06,0.0024,15.224536,580.0258,15.769646,160.94461,14.5185175,187.19363,13.674,0.024,13.102,0.026,13.02,0.026,12.877,0.024,12.916,0.024,12.635,0.372,9.34,,,,,,,,,,AAA,0000,AACU,RS,SSG,,,,,,,,,,,,,,,
456,ZTF J175351.78+495807.0,2MASS 17535175+4958069,1364468130203130112,WISEA J175351.76+495806.9,GALEX J175351.8+495807,268.46573551318124,49.96859442948376,1480.4277181574391,,6.8,0.13,,14.468772,695.74506,14.959311,188.79924,13.805988,305.482,12.938,0.027,12.438,0.031,12.333,0.024,12.304,0.023,12.311,0.022,12.198,0.213,9.51,,,,20.9862003326416,0.1905000060796737,,,,,AAA,0000,AABU,RS,RS,,,,,,,,,,,,,,,
457,ZALD J17135528+4559506,2MASS 17135527+4559506,1364690605212439296,WISEA J171355.27+455950.4,GALEX J171355.2+455950,258.4803143013194,45.99735310043571,511.6749290057443,,49.08,0.1,-0.033,9.844594,342.52298,10.466965,103.18771,9.08562,127.48398,7.955,0.02,7.371,0.016,7.258,0.018,7.152,0.045,7.218,0.02,7.133,0.016,7.149,0.084,,,17.35070037841797,0.0313000008463859,,,,,AAA,0000,AAAA,cut,SSG,50.17110745000665,0.0060671633,0.0062290710175522,0.0047226045,39.56778782503643,0.16420819,,,SB1,1.1371009,1.1910865,1.2432606,1.2938275,1.3429549,1.3907827
458,ZTF J171333.79+462732.9,2MASS 17133379+4627327,1364926317313972352,WISEA J171333.78+462732.8,GALEX J171333.8+462733,258.3907591272078,46.45912085469566,1778.1209908024505,,1.13,0.09,,13.670462,432.13126,14.234601,109.35245,12.950793,157.37361,12.139,0.02,11.545,0.019,11.395,0.024,11.253,0.023,11.268,0.02,11.004,0.103,8.58,,,,21.09029960632324,0.2410999983549118,,,,,AAA,0000,AAAU,RS,RS,,,,,,,,,,,,,,,
459,ZTF J172938.27+473745.7,2MASS 17293827+4737459,1365298708158691328,WISEA J172938.27+473745.8,GALEX J172938.2+473745,262.40948215110956,47.62935511067621,1877.029590778414,,4.05,0.06,-0.2257,14.818027,360.232,15.414423,101.0721,14.065654,103.09737,13.024,0.022,12.421,0.021,12.303,0.023,12.267,0.023,12.263,0.022,11.9,0.163,9.123,,,,21.259599685668945,0.3115000128746032,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
460,ZTF J171929.82+491408.6,2MASS 17192982+4914087,1366254115043354112,WISEA J171929.82+491408.6,GALEX J171929.8+491408,259.8742710732729,49.23571921951824,1237.1745639326928,,3.42,0.06,,14.409715,427.85168,14.937524,125.85655,13.72319,165.69025,12.811,0.022,12.323,0.016,12.204,0.024,12.076,0.024,12.087,0.022,11.92,0.218,8.779,,,,20.712299346923828,0.2105000019073486,,,,,AAA,hh00,AABU,RS,RS,,,,,,,,,,,,,,,
461,ZTF J174035.15+492518.9,2MASS 17403514+4925190,1367055246703848960,WISEA J174035.14+492518.9,,265.14648419005493,49.421907616787465,1969.146018253194,,7.61,0.07,-0.3433,15.242793,882.5582,15.714268,250.41415,14.605228,289.29016,13.779,0.034,13.288,0.035,13.225,0.031,13.135,0.024,13.131,0.024,12.852,,9.225,,,,,,,,,,AAA,0000,AAUU,RS,SSG,,,,,,,,,,,,,,,
462,ZTF J174718.18+504512.4,2MASS 17471819+5045122,1367694715794455424,WISEA J174718.18+504512.3,,266.82576163568586,50.75343959979063,1183.591815325449,,6.47,0.11,-0.5405,13.829559,393.04355,14.348618,130.26959,13.148862,138.27565,12.194,0.023,11.672,0.03,11.523,0.026,11.508,0.023,11.516,0.02,11.412,0.108,9.23,,,,,,,,,,AAA,0000,AAAU,RS,SSG,,,,,,,,,,,,,,,
463,ZTF J173714.08+511548.9,2MASS 17371411+5115490,1368305765085637248,WISEA J173714.09+511549.0,GALEX J173714.1+511549,264.30873659363175,51.26360510298526,924.2980354012012,,15.72,0.13,-0.0463,13.535805,551.557,14.07296,173.31096,12.821284,184.07643,11.98,0.029,11.387,0.032,11.251,0.024,11.173,0.023,11.199,0.021,11.051,0.07,9.313,,,,20.77440071105957,0.1331000030040741,,,,,AAA,0000,AAAU,RS,SSG,,,,,,,,,,,,,,,
464,V0382 Dra,2MASS 17471964+5133184,1368539278163416832,WISEA J174719.63+513318.6,GALEX J174719.6+513318,266.83182255099655,51.55520611875352,1045.794024828724,,4.22,0.1,-0.0129,13.909632,339.99213,14.566627,100.56343,13.1263895,130.60738,12.259,0.025,11.639,0.03,11.463,0.027,11.182,0.023,11.184,0.02,11.124,0.095,9.526,,,,21.954700469970703,0.291700005531311,,,,,AAA,0000,AAAU,SSG,SSG,,,,,,,,,,,,,,,
465,ZTF J155438.64+373828.1,2MASS 15543867+3738279,1373528930649274496,WISEA J155438.65+373828.0,GALEX J155438.6+373827,238.66100694655185,37.64113789619316,1491.4886755907894,,15.33,0.04,-0.2558,14.268538,516.70166,14.792974,124.628044,13.581697,197.12628,12.685,0.021,12.137,0.022,11.988,0.02,11.967,0.023,11.964,0.021,11.946,0.17,9.713,,,,21.421499252319336,0.3337999880313873,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
