,star,2MASS ID,source_id,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,2MASS_qph,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun)
1405,ZTF J104813.90+011834.4,2MASS 10481392+0118345,3808173679742261632,WISEA J104813.90+011834.4,,162.05795434866394,1.309563874826566,1733.155088857373,,5.72,0.13,-0.7959,15.639044,413.4757,16.24216,100.33375,14.882604,102.975365,13.637,0.029,13.085,0.029,12.981,0.033,12.948,0.023,12.939,0.028,12.109,,8.265,,,,,,,,,,AAA,0000,AAUU,SSG,SSG,,,,,,,,,,,,,,,
1406,IW Leo,2MASS 10592010+0453174,3815916848646502400,WISEA J105920.09+045317.3,GALEX J105920.1+045318,164.83367917992328,4.8881550933724,457.0345109221562,,8.76,0.12,0.1662,12.060656,554.73804,12.699011,155.3499,11.285132,193.72722,10.267,0.023,9.649,0.025,9.49,0.023,9.421,0.022,9.454,0.02,9.354,0.04,9.099,0.543,,,19.488800048828125,0.1110000014305114,,,,,AAA,0000,AAAC,SSG,SSG,,,,,,,,,,,,,,,
1407,CSS J093138.5-031836,2MASS 09313858-0318368,3825642823563843328,WISEA J093138.58-031836.8,,142.9107526575188,-3.3102380187948124,1639.341566050833,,5.14,0.12,-0.1624,14.794253,259.0523,15.494382,65.93423,13.980116,108.540474,12.701,0.024,12.054,0.023,11.816,0.021,11.863,0.023,11.823,0.022,11.588,0.224,8.907,,,,,,,,,,AAA,0000,AABU,SSG,SSG,,,,,,,,,,,,,,,
1408,CSS J094740.9+002829,2MASS 09474096+0028292,3834107997945611264,WISEA J094740.95+002829.1,GALEX J094740.9+002829,146.92065577301395,0.4747627935030142,973.3197479433746,,3.39,0.36,-0.1059,13.84124,367.14194,14.42731,111.68434,13.105617,153.70285,12.144,0.024,11.584,0.022,11.482,0.026,11.345,0.023,11.352,0.021,11.269,0.159,8.609,,,,20.765600204467773,0.186599999666214,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
1409,CSS J090933.4+010517,2MASS 09093351+0105175,3843582283483712256,WISEA J090933.51+010517.5,,137.3896488370101,1.0882218474641048,1465.6436108737448,,6.31,0.09,-0.1242,14.274491,239.3891,14.856031,65.875465,13.531735,85.774925,12.505,0.026,11.963,0.023,11.809,0.024,11.792,0.023,11.783,0.022,11.768,0.287,8.774,,,,,,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
1410,CSS J091729.9+032218,2MASS 09172997+0322186,3845492684936888064,WISEA J091729.96+032218.6,GALEX J091729.9+032218,139.37483535409433,3.3718099892073767,1492.1171985432609,,0.42,0.1,-0.6066,14.52241,351.86282,15.088271,100.399445,13.788585,133.2629,12.819,0.022,12.247,0.023,12.092,0.024,11.974,0.023,11.9,0.022,11.526,0.236,8.713,,,,20.66349983215332,0.1416999995708465,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
1411,CSS J095254.6+061146,2MASS 09525462+0611460,3850420004563149312,WISEA J095254.62+061146.0,GALEX J095254.5+061144,148.22762927960775,6.196103412404542,1920.1050542466792,,0.26,0.1,-0.0991,15.599878,493.99518,16.161297,177.59332,14.88194,184.14291,13.824,0.024,13.317,0.033,13.202,0.034,13.221,0.024,13.195,0.029,12.49,,8.7,,,,22.353099822998047,0.3522000014781952,,,,,AAA,0000,AAUU,RS,SSG,,,,,,,,,,,,,,,
1412,CSS J093125.1+043214,2MASS 09312514+0432142,3851860880191111808,WISEA J093125.14+043214.0,GALEX J093125.1+043214,142.854768579089,4.537190820164968,954.1004850098236,,8.1,0.14,0.05,13.040439,500.96472,13.632626,146.61952,12.302002,188.49072,11.373,0.026,10.765,0.022,10.641,0.024,10.572,0.023,10.594,0.021,10.528,0.078,9.019,,,,20.675800323486328,0.1369999945163726,,,,,AAA,0000,AAAU,cut,SSG,,,,,,,,,,,,,,,
1413,CSS J094512.8+073729,2MASS 09451284+0737288,3854548224048893696,WISEA J094512.83+073728.7,GALEX J094512.8+073728,146.30349215626612,7.624659507518631,1402.6086407916082,,11.91,0.07,-0.8384,13.645621,392.85187,14.190159,109.188576,12.884007,138.95398,11.838,0.026,11.242,0.025,11.136,0.027,11.066,0.023,11.048,0.021,10.986,0.136,8.906,,,,20.6564998626709,0.1230000033974647,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
1414,ZTF J104234.10+052550.9,2MASS 10423409+0525510,3859083885606770304,WISEA J104234.09+052550.9,,160.64209759232182,5.430799208634176,1871.666207727627,,16.67,0.06,-0.1831,14.922322,279.81924,15.49325,79.406975,14.198063,99.792755,13.527,0.028,12.882,0.03,12.768,0.033,12.514,0.023,12.55,0.027,11.806,0.293,8.304,,,,,,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
1415,CSS J105319.8+061113,2MASS 10531982+0611138,3864520107317266560,WISEA J105319.84+061113.5,GALEX J105319.8+061113,163.3327173208165,6.187059209319603,1148.7956018375633,,12.92,0.1,-0.4249,13.39255,290.72366,13.859672,87.94112,12.74471,99.56549,11.872,0.023,11.346,0.021,11.242,0.023,11.166,0.024,11.15,0.022,11.169,0.154,8.274,,,,19.023500442504883,0.0785999968647956,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
1416,ZTF J104127.47+091406.8,2MASS 10412748+0914066,3869127443290440832,WISEA J104127.47+091406.5,GALEX J104127.5+091407,160.3644629878268,9.235187815053257,1901.6854960240828,,7.34,0.08,-0.4325,15.299558,437.1375,15.837327,109.23657,14.599775,164.51208,13.789,0.032,13.19,0.029,13.063,0.037,12.851,0.024,12.858,0.027,11.881,0.34,8.268,,,,21.235599517822266,0.2187999933958053,,,,,AAA,0000,AABU,RS,SSG,,,,,,,,,,,,,,,
