star,Gaia DR3 ID,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class
ZTF J081658.68+261405.7,682561223498419968,J081658.69+261405.6,,124.24452605017449,26.234874274305582,1973.4967487637116,,10.57,0.1,,15.498223,343.7477,16.07946,93.9297,14.751332,102.83937,13.801,0.025,13.205,0.026,13.055,0.027,12.98,0.023,12.972,0.029,12.037,,8.69,,,,,,,,,,0000,AAUU,SSG,-999
ZTF J082023.96+273147.3,683288516080427264,J082023.95+273147.2,,125.0998346553163,27.52978063330357,1326.1268910239166,,9.27,0.08,-0.1669,14.047561,340.70544,14.633896,100.427086,13.309862,125.21575,12.404,0.024,11.83,0.03,11.668,0.022,11.599,0.023,11.596,0.022,11.434,0.214,8.892,,,,,,,,,,0000,AABU,RS,SSG
KN Cnc,683884863700181120,J081035.23+274928.0,GALEX J081035.2+274928,122.64676821139804,27.82442695522024,455.9586127,12.3,17.74,0.08,-0.1901,11.541363,269.7408,12.170532,67.75545,10.749018,83.207214,9.686,0.018,9.078,0.019,8.925,0.018,8.792,0.022,8.781,0.02,8.63,0.025,8.437,0.43,21.944900512695312,0.2987,18.910499572753906,0.05490000173449516,Yes,Variable H-alpha,Normal Emission,Normal Emission,0000,AAAC,SSG,SSG
ZTF J081506.76+294225.3,684538592082012160,J081506.76+294225.2,,123.77820317483337,29.70700926667233,1748.936467903537,,3.92,0.1,-0.13,15.006868,310.87964,15.541846,104.00014,14.312972,120.21676,13.431,0.022,12.875,0.022,12.776,0.025,12.679,0.023,12.685,0.027,11.905,,8.864,,,,,,,,,,0000,AAUU,RS,SSG
CSS J090921.0+265747,692018775844248064,J090921.00+265747.3,,137.33757300138618,26.963144674340963,1561.906570842756,,1.65,0.09,-0.059,15.873151,106.91907,16.505808,19.571247,15.08027,31.636442,14.199,0.024,13.519,0.038,13.375,0.028,13.14,0.025,13.091,0.029,12.119,,8.794,,,,,,,,,,0000,AAUU,SSG,SSG
CSS J085253.9+275021,692928003241491200,J085253.95+275021.1,,133.2248051803715,27.83919466933424,1941.0108419804012,,27.51,0.1,-0.2841,14.485738,1420.2428,14.9484415,336.2073,13.84219,368.46683,13.042,0.022,12.544,0.02,12.452,0.022,12.402,0.023,12.415,0.026,11.806,,8.439,0.438,,,,,,,,,0000,AAUC,RS,SSG
MV Cnc,693109388299433984,J090042.37+281731.3,GALEX J090042.4+281732,135.17656506030852,28.29204108898487,563.6623391560726,,6.26,0.08,-0.1709,11.202621,635.4792,11.734321,195.20866,10.506947,263.8387,9.623,0.023,9.127,0.057,8.953,0.023,8.881,0.022,8.929,0.02,8.822,0.034,8.336,,21.854299545288086,0.3382,18.412200927734375,0.039900001138448715,,,,,0000,AAAU,RS,SSG
CSS J092636.5+253925,693730608073643776,J092636.52+253924.9,GALEX J092636.5+253925,141.65215875414074,25.65691922869597,1021.1325229308584,,2.7,0.07,-0.1006,12.637413,629.7717,13.134996,199.01166,11.980971,192.32976,11.133,0.022,10.622,0.021,10.496,0.016,10.398,0.023,10.429,0.02,10.184,0.071,8.493,,,--,18.71969985961914,0.03480000048875809,,,,,0000,AAAU,RS,RS
CSS J085202.5+284637,705062454084270464,J085202.53+284637.0,GALEX J085202.5+284637,133.01054796786346,28.776917622441538,1578.7380272669943,,4.4,0.08,-0.13,13.764465,479.6216,14.328423,141.13345,13.045006,172.48705,12.276,0.022,11.672,0.025,11.552,0.024,11.364,0.023,11.381,0.023,11.173,0.209,8.425,,,--,20.98080062866211,0.16859999299049377,,,,,0000,AABU,RS,SSG
CSS J082235.4+285518,707471754641398144,J082235.44+285518.7,GALEX J082235.4+285518,125.64771768284336,28.921861527598303,775.6277333,,8.83,0.09,-0.0123,12.463797,211.5481,13.12118,61.468506,11.667196,73.14028,10.624,0.024,10.015,0.028,9.814,0.02,9.725,0.023,9.721,0.02,9.568,0.05,8.423,,21.93000030517578,0.3833,19.45359992980957,0.07329999655485153,,,,,0000,AAAU,SSG,SSG
CSS J083108.3+310838,708181768570906240,J083108.35+310838.7,GALEX J083108.4+310839,127.7848074689176,31.14407433823764,1092.210707388612,,5.16,0.15,-0.4106,14.256871,579.51465,14.922886,161.50284,13.456619,176.87395,12.373,0.02,11.77,0.016,11.587,0.019,11.493,0.024,11.454,0.022,11.552,0.172,9.096,,,--,21.343900680541992,0.20180000364780426,,,,,0000,AABU,SSG,SSG
CSS J083946.1+311904,709537810006379392,J083946.15+311904.0,GALEX J083946.2+311903,129.94228292086015,31.31775681325962,1242.8227997073184,,7.11,0.12,,13.912857,506.17642,14.442668,171.3832,13.2145405,206.8712,12.244,0.019,11.73,0.029,11.622,0.021,11.655,0.023,11.643,0.022,11.408,0.197,8.438,,,--,20.549100875854492,0.1307000070810318,,,,,0000,AABU,RS,-999
CSS J084341.6+320513,709937826080574336,J084341.71+320513.6,GALEX J084341.7+320513,130.9237927797456,32.08709808378486,1718.5771203478473,,5.01,0.1,-0.6052,14.481103,639.70557,14.980363,199.09396,13.801887,229.78703,12.91,0.023,12.31,0.019,12.248,0.023,12.189,0.023,12.142,0.024,12.432,0.507,9.06,,,--,20.436500549316406,0.11249999701976776,,,,,0000,AACU,RS,SSG
HAT 224-0007605,712836516688390144,J085701.90+320910.6,,134.25798517956872,32.15295457987304,1298.627882300435,,7.66,0.08,-0.3397,14.358304,354.05026,15.015385,114.65682,13.560645,131.21233,12.424,0.024,11.799,0.022,11.657,0.021,11.487,0.023,11.456,0.022,11.304,0.203,8.152,,,,,,,,,,0000,AABU,SSG,SSG
ZTF J090913.74+371947.9,715852133485183232,J090913.74+371948.0,,137.30727234203982,37.32997423524534,1746.2660422763945,,8.94,0.06,-0.0843,14.083667,564.21375,14.61876,159.91795,13.385885,215.20963,12.362,0.02,11.818,0.017,11.711,0.019,11.751,0.022,11.771,0.023,11.651,0.286,8.364,,,,,,,,,,hh00,AABU,RS,SSG
CSS J090704.1+365731,715863334759918976,J090704.13+365731.0,GALEX J090704.1+365732,136.76721852219438,36.95861270693842,878.2640132720195,,15.88,0.06,-0.16,14.451353,249.32246,15.161343,65.62475,13.61688,98.30442,12.425,0.019,11.784,0.022,11.543,0.019,11.54,0.022,11.517,0.021,11.075,0.18,8.111,,,--,21.9596004486084,0.3799999952316284,,,,,0000,AABU,SSG,SSG
ZTF J103700.01+252752.5,724444095300650112,J103700.01+252752.6,GALEX J103700.0+252753,159.25006194265643,25.46457552590034,838.3133947425606,,11.95,0.06,-0.7415,13.708085,523.3176,14.213181,132.30641,13.028012,212.41338,12.058,0.021,11.519,0.019,11.411,0.018,11.384,0.023,11.377,0.021,11.214,0.164,8.586,,,--,20.210399627685547,0.11259999871253967,,,,,0000,AABU,RS,SSG
AH LMi,730789376904481408,J104556.71+262958.3,GALEX J104556.7+262958,161.48628901871467,26.49951257280288,595.2283546838897,,2.51,0.09,-0.1539,11.828333,522.0049,12.310262,173.05565,11.1803875,179.3632,10.291,0.02,9.745,0.019,9.653,0.021,9.614,0.023,9.608,0.021,9.467,0.037,8.53,,21.040800094604492,0.3247,17.469900131225586,0.025599999353289604,,,,,0000,AAAU,RS,RS
